Year,All-Classic Entry Number,Bike Entry Number,Quad Entry Number,SSV Entry Number,LW Proto Entry Number,Car Entry Number,Truck Entry Number,Classic Entry Number,All Entry Number,All-Classic Finisher Number,Bike Finisher Number,Quad Finisher Number,SSV Finisher Number,LW Proto Finisher Number,Car Finisher Number,Truck Finisher Number,Classic Finisher Number,All Finisher Number,All-Classic Finisher Percent,Bike Finisher Percent,Quad Finisher Percent,SSV Finisher Percent,LW Proto Finisher Percent,Car Finisher Percent,Truck Finisher Percent,Classic Finisher Percent,All Finisher Percent,Distance km,SS km,Days inc Rest,Days excl Rest
1979,182,90,,,,80,12,,,74,33,,,,38,3,,,40.66,36.67,,,,47.50,25.00,,,10000,3168,19,18
1980,216,90,,,,116,10,,,81,25,,,,49,7,,,37.50,27.78,,,,42.24,70.00,,,10000,4059,22,20
1981,291,106,,,,170,15,,,91,28,,,,60,3,,,31.27,26.42,,,,35.29,20.00,,,6263,3357,19,18
1982,385,129,,,,233,23,,,127,33,,,,85,9,,,32.99,25.58,,,,36.48,39.13,,,10000,5963,19,18
1983,380,132,,,,236,12,,,90,28,,,,54,8,,,23.68,21.21,,,,22.88,66.67,,,12000,5210,19,16
1984,406,114,,,,261,31,,,154,50,,,,92,12,,,37.93,43.86,,,,35.25,38.71,,,12000,5882,19,19
1985,552,135,,,,362,55,,,146,25,,,,101,20,,,26.45,18.52,,,,27.90,36.36,,,14000,7470,21,20
1986,486,131,,,,282,73,,,100,29,,,,71,0,,,20.58,22.14,,,,25.18,0.00,,,15000,7731,21,20
1987,539,154,,,,312,73,,,124,26,,,,98,0,,,23.01,16.88,,,,31.41,0.00,,,13000,8315,21,20
1988,603,183,,,,311,109,,,151,34,,,,117,0,,,25.04,18.58,,,,37.62,0.00,,,12874,6605,21,20
1989,473,155,,,,241,77,,,209,60,,,,100,49,,,44.19,38.71,,,,41.49,63.64,,,10831,6605,19,18
1990,465,136,,,,236,93,,,133,46,,,,64,23,,,28.60,33.82,,,,27.12,24.73,,,11420,8564,22,22
1991,406,113,,,,184,109,,,174,46,,,,128,0,,,42.86,40.71,,,,69.57,0.00,,,9186,6747,19,18
1992,332,98,,,,133,101,,,169,45,,,,68,56,,,50.90,45.92,,,,51.13,55.45,,,12427,6263,22,21
1993,153,46,,,,65,42,,,67,12,,,,55,0,,,43.79,26.09,,,,84.62,0.00,,,8877,4476,15,14
1994,220,96,,,,96,28,,,114,47,,,,57,10,,,51.82,48.96,,,,59.38,35.71,,,13379,4446,19,18
1995,205,95,,,,86,24,,,103,27,,,,58,18,,,50.24,28.42,,,,67.44,75.00,,,10109,5725,14,13
1996,295,119,,,,106,70,,,121,50,,,,50,21,,,41.02,42.02,,,,47.17,30.00,,,7579,6179,15,14
1997,280,126,,,,99,55,,,141,58,,,,61,22,,,50.36,46.03,,,,61.62,40.00,,,8049,6509,15,14
1998,323,173,,,,115,35,,,104,41,,,,55,8,,,32.20,23.70,,,,47.83,22.86,,,10593,5219,17,16
1999,278,88,,,,161,29,,,110,40,,,,54,16,,,39.57,45.45,,,,33.54,55.17,,,9393,5638,16,15
2000,365,200,,,,135,30,,,225,107,,,,95,23,,,61.64,53.50,,,,70.37,76.67,,,7863,5012,17,17
2001,276,133,,,,113,30,,,141,76,,,,53,12,,,51.09,57.14,,,,46.90,40.00,,,10219,6180,20,19
